551,Zambia,0.0,1.0,0.0,1.0
552,Zimbabwe,0.0,1.0,0.0,1.0
553,Malawi,0.0,1.0,0.0,1.0
560,South Africa,-0.24630914179312136,0.06725863578928393,-0.23802501866556802,0.07730730509614636
565,Namibia,0.0,1.0,0.0,1.0
570,Lesotho,0.0,1.0,0.0,1.0
571,Botswana,0.0,1.0,0.0,1.0
572,Swaziland,0.0,1.0,0.0,1.0
580,Madagascar,0.0,1.0,0.0,1.0
581,Comoros,0.0,1.0,0.0,1.0
590,Mauritius,0.0,1.0,0.0,1.0
591,Seychelles,0.0,1.0,0.0,1.0
600,Morocco,0.0,1.0,0.0,1.0
615,Algeria,0.4586724137440054,0.003316578815884881,0.45296073454245783,0.003784292128813265
616,Tunisia,0.0,1.0,0.0,1.0
620,Libya,0.9057676616401801,1.594546269867126e-19,0.7960575079137687,4.842786491378951e-12
625,Sudan,0.0,1.0,0.0,1.0
630,Iran,0.5977335193185122,1.1500263974004767e-06,0.6888077093684968,4.404155782758173e-09
640,Turkey,0.0,1.0,0.0,1.0
645,Iraq,0.5870550127649768,1.9789059429701276e-06,0.592994437384785,1.4667778486875741e-06
651,Egypt,-0.0015072206499131316,0.991203807626231,-0.41970036453365256,0.0012818810959024445
652,Syria,0.04849949061461119,0.7226194540088321,0.09194135878728228,0.5003509037434974
660,Lebanon,0.0,1.0,0.0,1.0
663,Jordan,0.0,1.0,0.0,1.0
666,Israel,0.0,1.0,0.0,1.0
670,Saudi Arabia,0.0,1.0,0.0,1.0
678,Yemen Arab Republic,0.0,1.0,0.0,1.0
679,Yemen,0.0,1.0,0.0,1.0
680,Yemen People's Republic,0.0,1.0,0.0,1.0
690,Kuwait,0.0,1.0,0.0,1.0
692,Bahrain,0.0,1.0,0.0,1.0
694,Qatar,0.0,1.0,0.0,1.0
696,United Arab Emirates,0.0,1.0,0.0,1.0
698,Oman,0.0,1.0,0.0,1.0
700,Afghanistan,0.0,1.0,0.0,1.0
701,Turkmenistan,0.0,1.0,0.0,1.0
702,Tajikistan,0.0,1.0,0.0,1.0
703,Kyrgyzstan,0.0,1.0,0.0,1.0
704,Uzbekistan,0.0,1.0,0.0,1.0
705,Kazakhstan,0.0,1.0,0.0,1.0
712,Mongolia,0.0,1.0,0.0,1.0
731,North Korea,0.713842426553918,1.9703611577180643e-09,0.7193988504211364,1.2885478921437053e-09
732,South Korea,0.1801567903958448,0.19674578092328598,-0.2817796215704509,0.04094418201481983
740,Japan,0.0,1.0,0.0,1.0
750,India,0.0,1.0,0.0,1.0
760,Bhutan,0.0,1.0,0.0,1.0
770,Pakistan,0.0,1.0,0.0,1.0
771,Bangladesh,0.0,1.0,0.0,1.0
775,Myanmar,0.0,1.0,0.0,1.0
780,Sri Lanka,0.0,1.0,0.0,1.0
781,Maldives,0.0,1.0,0.0,1.0
790,Nepal,0.0,1.0,0.0,1.0
800,Thailand,0.0,1.0,0.0,1.0
811,Cambodia,0.0,1.0,0.0,1.0
812,Laos,0.0,1.0,0.0,1.0
816,Vietnam,0.0,1.0,0.0,1.0
817,Republic of Vietnam,0.0,1.0,0.0,1.0
